"subjectID","wave","task","run","nVols","percent"
"TAG107",1,"SVC",2,2,1.1
"TAG109",1,"DSD",1,0,0
"TAG109",1,"DSD",2,5,2.2
"TAG109",1,"rest",1,0,0
"TAG109",1,"rest",2,0,0
"TAG109",1,"SVC",1,0,0
"TAG109",1,"SVC",2,10,5.6
"TAG110",1,"DSD",1,1,0.4
"TAG110",1,"rest",1,0,0
"TAG110",1,"rest",2,0,0
"TAG110",1,"SVC",1,0,0
"TAG110",1,"SVC",2,0,0
"TAG111",1,"DSD",1,21,9.3
"TAG111",1,"DSD",2,0,0
"TAG111",1,"rest",1,0,0
"TAG111",1,"rest",2,1,0.4
"TAG111",1,"SVC",1,1,0.6
"TAG111",1,"SVC",2,0,0
"TAG112",1,"DSD",1,37,16.4
"TAG112",1,"DSD",2,43,19.1
"TAG112",1,"rest",1,0,0
"TAG112",1,"rest",2,2,0.7
"TAG112",1,"SVC",1,19,10.6
"TAG112",1,"SVC",2,25,13.9
"TAG113",1,"DSD",1,144,64
"TAG113",1,"rest",1,39,14.4
"TAG113",1,"rest",2,24,8.9
"TAG113",1,"SVC",1,55,30.6
"TAG113",1,"SVC",2,72,40
"TAG114",1,"DSD",1,4,1.8
"TAG114",1,"DSD",2,8,3.6
"TAG114",1,"rest",1,0,0
"TAG114",1,"rest",2,1,0.4
"TAG114",1,"SVC",1,6,3.3
"TAG114",1,"SVC",2,14,8.6
"TAG116",1,"DSD",1,16,7.1
"TAG116",1,"DSD",2,22,9.8
"TAG116",1,"rest",1,1,0.3
"TAG116",1,"rest",2,0,0
"TAG116",1,"SVC",1,1,0.6
"TAG116",1,"SVC",2,2,1.1
"TAG119",1,"DSD",1,25,11.1
"TAG119",1,"DSD",2,34,15.1
"TAG119",1,"rest",1,7,2.6
"TAG119",1,"rest",2,0,0
"TAG119",1,"SVC",1,15,8.3
"TAG119",1,"SVC",2,8,4.4
"TAG120",1,"DSD",1,3,1.3
"TAG120",1,"DSD",2,8,3.6
"TAG120",1,"rest",1,2,0.5
"TAG120",1,"rest",2,0,0
"TAG120",1,"SVC",1,1,0.6
"TAG120",1,"SVC",2,4,2.2
"TAG122",1,"DSD",1,11,4.9
"TAG122",1,"DSD",2,27,12
"TAG122",1,"rest",1,11,2.8
"TAG122",1,"rest",2,13,3.3
"TAG122",1,"SVC",1,14,7.8
"TAG122",1,"SVC",2,18,10
"TAG124",1,"DSD",1,15,6.7
"TAG124",1,"DSD",2,17,7.6
"TAG124",1,"rest",1,0,0
"TAG124",1,"SVC",1,4,2.2
"TAG124",1,"SVC",2,16,8.9
"TAG125",1,"DSD",1,6,2.7
"TAG125",1,"DSD",2,8,3.6
"TAG125",1,"rest",1,0,0
"TAG125",1,"rest",2,11,2.8
"TAG125",1,"SVC",1,3,1.7
"TAG125",1,"SVC",2,13,7.2
"TAG127",1,"DSD",1,0,0
"TAG127",1,"DSD",2,5,2.2
"TAG127",1,"rest",1,0,0
"TAG127",1,"rest",2,0,0
"TAG127",1,"SVC",1,0,0
"TAG127",1,"SVC",2,7,3.9
"TAG130",1,"DSD",1,6,2.7
"TAG130",1,"DSD",2,7,3.1
"TAG130",1,"rest",1,0,0
"TAG130",1,"rest",2,4,1.5
"TAG130",1,"SVC",1,0,0
"TAG130",1,"SVC",2,10,5.6
"TAG131",1,"DSD",1,41,18.2
"TAG131",1,"DSD",2,75,33.3
"TAG131",1,"rest",1,0,0
"TAG131",1,"rest",2,3,1.1
"TAG131",1,"SVC",1,8,4.4
"TAG131",1,"SVC",2,16,8.9
"TAG132",1,"DSD",1,0,0
"TAG132",1,"DSD",2,0,0
"TAG132",1,"rest",1,0,0
"TAG132",1,"rest",2,0,0
"TAG132",1,"SVC",1,2,1.1
"TAG132",1,"SVC",2,0,0
"TAG137",1,"DSD",1,53,23.6
"TAG137",1,"DSD",2,81,36
"TAG137",1,"rest",1,0,0
"TAG137",1,"rest",2,22,8.1
"TAG137",1,"SVC",1,11,6.1
"TAG137",1,"SVC",2,23,12.8
"TAG138",1,"DSD",1,55,24.4
"TAG138",1,"DSD",2,11,4.9
"TAG138",1,"rest",1,0,0
"TAG138",1,"rest",2,60,22.2
"TAG138",1,"SVC",1,3,1.7
"TAG138",1,"SVC",2,15,8.3
"TAG140",1,"DSD",1,5,2.2
"TAG140",1,"DSD",2,32,14.2
"TAG140",1,"rest",1,0,0
"TAG140",1,"rest",2,0,0
"TAG140",1,"SVC",1,0,0
"TAG140",1,"SVC",2,0,0
"TAG141",1,"DSD",1,17,7.6
"TAG141",1,"DSD",2,33,14.7
"TAG141",1,"rest",1,0,0
"TAG141",1,"rest",2,0,0
"TAG141",1,"SVC",1,0,0
"TAG141",1,"SVC",2,1,0.6
"TAG143",1,"DSD",1,30,13.3
"TAG143",1,"DSD",2,63,28
"TAG143",1,"rest",1,0,0
"TAG143",1,"rest",2,0,0
"TAG143",1,"SVC",1,9,5
"TAG143",1,"SVC",2,7,3.9
"TAG144",1,"DSD",1,6,2.7
"TAG144",1,"DSD",2,8,3.6
"TAG144",1,"rest",1,0,0
"TAG144",1,"rest",2,0,0
"TAG144",1,"SVC",1,0,0
"TAG144",1,"SVC",2,2,1.1
"TAG145",1,"DSD",1,5,2.2
"TAG145",1,"DSD",2,4,1.8
"TAG145",1,"rest",1,0,0
"TAG145",1,"rest",2,14,5.2
"TAG145",1,"SVC",1,0,0
"TAG145",1,"SVC",2,2,1.1
"TAG147",1,"DSD",1,0,0
"TAG147",1,"DSD",2,3,1.3
"TAG147",1,"rest",1,3,0.8
"TAG147",1,"rest",2,0,0
"TAG147",1,"SVC",1,2,1.1
"TAG147",1,"SVC",2,0,0
"TAG149",1,"DSD",1,3,1.3
"TAG149",1,"DSD",2,7,3.1
"TAG149",1,"rest",1,0,0
"TAG149",1,"rest",2,0,0
"TAG149",1,"SVC",1,3,1.7
"TAG149",1,"SVC",2,9,5
"TAG152",1,"DSD",1,24,10.7
"TAG152",1,"DSD",2,13,5.8
"TAG152",1,"rest",1,3,1.1
"TAG152",1,"rest",2,1,0.4
"TAG152",1,"SVC",1,6,3.3
"TAG152",1,"SVC",2,1,0.6
"TAG155",1,"DSD",1,2,0.9
"TAG155",1,"DSD",2,0,0
"TAG155",1,"rest",1,0,0
"TAG155",1,"rest",2,0,0
"TAG155",1,"SVC",1,4,2.2
"TAG155",1,"SVC",2,5,2.8
"TAG159",1,"DSD",1,0,0
"TAG159",1,"DSD",2,1,0.4
"TAG159",1,"rest",1,0,0
"TAG159",1,"rest",2,0,0
"TAG159",1,"SVC",1,1,0.6
"TAG159",1,"SVC",2,0,0
"TAG160",1,"DSD",1,7,3.1
"TAG160",1,"DSD",2,10,4.4
"TAG160",1,"rest",1,7,2.6
"TAG160",1,"rest",2,0,0
"TAG160",1,"SVC",1,2,1.1
"TAG160",1,"SVC",2,6,3.3
"TAG164",1,"DSD",1,0,0
"TAG164",1,"DSD",2,5,2.2
"TAG164",1,"rest",1,0,0
"TAG164",1,"rest",2,0,0
"TAG164",1,"SVC",1,0,0
"TAG164",1,"SVC",2,1,0.6
"TAG165",1,"DSD",1,51,22.7
"TAG165",1,"DSD",2,44,19.6
"TAG165",1,"rest",1,10,2.5
"TAG165",1,"rest",2,12,3
"TAG165",1,"SVC",1,23,12.8
"TAG165",1,"SVC",2,10,5.6
"TAG166",1,"DSD",1,0,0
