"subjectID","wave","task","nVols","percent"
"TAG225",1,"DSD",55,12.2
"TAG225",1,"rest",7,0.9
"TAG225",1,"SVC",2,0.6
"TAG232",1,"DSD",30,6.7
"TAG232",1,"rest",1,0.1
"TAG232",1,"SVC",4,1.1
"TAG233",1,"rest",45,10.8
"TAG233",1,"SVC",153,42.5
"TAG238",1,"DSD",1,0.2
"TAG238",1,"rest",0,0
"TAG238",1,"SVC",0,0
"TAG240",1,"DSD",32,7.1
"TAG240",1,"rest",2,0.3
"TAG240",1,"SVC",0,0
"TAG243",1,"DSD",0,0
"TAG243",1,"rest",0,0
"TAG243",1,"SVC",0,0
"TAG244",1,"DSD",197,43.8
"TAG244",1,"rest",3,0.4
"TAG244",1,"SVC",30,8.3
"TAG247",1,"SVC",33,18.3
"TAG250",1,"DSD",10,2.2
"TAG250",1,"rest",0,0
"TAG250",1,"SVC",3,0.8
"TAG252",1,"rest",2,0.3
"TAG253",1,"DSD",46,10.2
"TAG253",1,"rest",14,1.8
"TAG253",1,"SVC",22,6.1
"TAG261",1,"rest",40,7.1
"TAG261",1,"SVC",116,32.2
"TAG266",1,"DSD",0,0
"TAG266",1,"rest",0,0
"TAG266",1,"SVC",0,0
